number,speed,power
1,0.325,4.331
2,0.4,5.186
3,0.45,3.826
4,0.501,1.048
5,0.526,5.553
6,0.551,6.498
7,0.576,5.241
8,0.626,4.22
9,0.676,7.974
10,0.701,9.746
11,0.801,7.271
12,0.826,0.795
13,0.851,7.35
14,0.926,1.996
15,0.951,1.609
16,0.976,2.064
17,1.001,6.511
18,1.051,2.085
19,1.101,0.121
20,1.151,1.208
21,1.251,3.373
22,1.276,6.51
23,1.401,4.156
24,1.426,2.005
25,1.502,5.352
26,1.652,7.221
27,1.702,2.439
28,1.877,2.359
29,1.902,7.048
30,2.177,2.701
31,2.227,2.869
32,2.402,2.287
33,2.477,6.947
34,2.553,2.37
35,2.578,3.165
36,2.703,0.667
37,2.828,7.559
38,2.853,14.131
39,2.953,2.894
40,3.003,3.578
41,3.028,2.633
42,3.053,2.836
43,3.078,3.063
44,3.203,1.36
45,3.378,4.334
46,3.403,2.167
47,3.428,6.819
48,3.529,5.3
49,3.604,1.535
50,3.629,9.89
51,3.704,2.27
52,3.729,4.595
53,3.904,4.453
54,3.929,4.415
55,3.954,0.132
56,3.979,2.03
57,4.179,1.035
58,4.304,4.437
59,4.329,1.043
60,4.53,3.934
61,4.555,6.824
62,4.605,13.592
63,4.73,0.82
64,4.78,10.444
65,4.905,7.06
66,4.93,0.946
67,4.955,1.907
68,4.98,1.681
69,5.03,9.519
70,5.08,2.973
71,5.13,8.623
72,5.18,4.525
73,5.205,0.932
74,5.255,2.478
75,5.28,0.113
76,5.305,11.664
77,5.43,0.929
78,5.455,4.454
79,5.506,3.2
80,5.631,6.184
81,5.681,3.036
82,5.706,1.626
83,5.731,5.631
84,5.831,4.38
85,5.906,1.826
86,5.956,4.292
87,5.981,2.762
88,6.006,5.539
89,6.031,3.912
90,6.081,3.96
91,6.106,0.997
92,6.131,10.864
93,6.156,2.236
94,6.181,5.347
95,6.231,6.491
96,6.356,5.842
97,6.406,6.446
98,6.456,3.51
99,6.481,10.262
100,6.607,5.682
101,6.682,10.044
102,6.732,9.079
103,6.757,1.53
104,6.832,8.616
105,6.982,4.187
106,7.057,1.485
107,7.082,9.779
108,7.157,7.973
109,7.182,0.067
110,7.207,8.238
111,7.232,9.406
112,7.257,5.252
113,7.307,4.243
114,7.382,4.597
115,7.407,3.122
116,7.508,9.034
117,7.558,6.853
118,7.608,8.471
119,7.633,14.788
120,7.683,7.245
121,7.708,10.297
122,7.733,4.443
123,7.808,13.142
124,7.833,11.321
125,7.858,9.385
126,7.883,5.947
127,7.908,14.511
128,7.933,5.696
129,8.033,6.983
130,8.083,5.385
131,8.133,11.749
132,8.183,7.83
133,8.208,7.785
134,8.308,9.812
135,8.408,6.656
136,8.458,3
137,8.534,11.422
138,8.634,13.113
139,8.659,16.413
140,8.684,9.42
141,8.759,8.937
142,8.834,10.76
143,8.859,14.16
144,8.884,16.697
145,8.959,5.554
146,9.209,11.12
